,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
64,2023-07-04,02:12 AM,04:29,12:47 PM,05:09 PM,09:04 PM,11:08 PM,03:42 AM,03:47 AM,12:47 PM,12:52 PM,05:09 PM,05:14 PM,09:04 PM,09:09 PM,11:08 PM,11:13 PM,10:12 PM,02:12 AM,01:17 PM,02:17 PM
65,2023-07-05,02:12 AM,04:29,12:47 PM,05:09 PM,09:03 PM,11:08 PM,03:42 AM,03:47 AM,12:47 PM,12:52 PM,05:09 PM,05:14 PM,09:03 PM,09:08 PM,11:08 PM,11:13 PM,10:12 PM,02:12 AM,01:17 PM,02:17 PM
66,2023-07-06,02:13 AM,04:30,12:47 PM,05:09 PM,09:03 PM,11:08 PM,03:42 AM,03:47 AM,12:47 PM,12:52 PM,05:09 PM,05:14 PM,09:03 PM,09:08 PM,11:08 PM,11:13 PM,10:13 PM,02:13 AM,01:17 PM,02:17 PM
67,2023-07-07,02:13 AM,04:31,12:47 PM,05:09 PM,09:02 PM,11:07 PM,03:42 AM,03:47 AM,11:47 AM,01:47 PM,05:09 PM,05:14 PM,09:02 PM,09:07 PM,11:07 PM,11:12 PM,10:13 PM,02:13 AM,01:17 PM,02:17 PM
68,2023-07-08,02:13 AM,04:32,12:48 PM,05:09 PM,09:02 PM,11:07 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:09 PM,05:14 PM,09:02 PM,09:07 PM,11:07 PM,11:12 PM,10:13 PM,02:13 AM,01:18 PM,02:18 PM
69,2023-07-09,02:14 AM,04:33,12:48 PM,05:09 PM,09:01 PM,11:07 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:09 PM,05:14 PM,09:01 PM,09:06 PM,11:07 PM,11:12 PM,10:14 PM,02:14 AM,01:18 PM,02:18 PM
70,2023-07-10,02:14 AM,04:34,12:48 PM,05:09 PM,09:00 PM,11:07 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:09 PM,05:14 PM,09:00 PM,09:05 PM,11:07 PM,11:12 PM,10:14 PM,02:14 AM,01:18 PM,02:18 PM
71,2023-07-11,02:15 AM,04:35,12:48 PM,05:08 PM,09:00 PM,11:06 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:08 PM,05:13 PM,09:00 PM,09:05 PM,11:06 PM,11:11 PM,10:15 PM,02:15 AM,01:18 PM,02:18 PM
72,2023-07-12,02:15 AM,04:36,12:48 PM,05:08 PM,08:59 PM,11:06 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:08 PM,05:13 PM,08:59 PM,09:04 PM,11:06 PM,11:11 PM,10:15 PM,02:15 AM,01:18 PM,02:18 PM
73,2023-07-13,02:16 AM,04:37,12:48 PM,05:08 PM,08:58 PM,11:06 PM,03:42 AM,03:47 AM,12:48 PM,12:53 PM,05:08 PM,05:13 PM,08:58 PM,09:03 PM,11:06 PM,11:11 PM,10:16 PM,02:16 AM,01:18 PM,02:18 PM
74,2023-07-14,02:16 AM,04:38,12:48 PM,05:08 PM,08:57 PM,11:06 PM,03:42 AM,03:47 AM,11:48 AM,01:48 PM,05:08 PM,05:13 PM,08:57 PM,09:02 PM,11:06 PM,11:11 PM,10:16 PM,02:16 AM,01:18 PM,02:18 PM
75,2023-07-15,02:17 AM,04:39,12:49 PM,05:08 PM,08:56 PM,11:05 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:08 PM,05:13 PM,08:56 PM,09:01 PM,11:05 PM,11:10 PM,10:17 PM,02:17 AM,01:19 PM,02:19 PM
